Title,Upload Date,Module,Authors,Print Publication Date,DOI,ISBN,Sub-discipline,LINK,Site Module Name
British Politics: A Very Short Introduction,Sep-13,Social Sciences,Wright,2013,10.1093/actrade/9780199661107.001.0001,9780199661107,"null, Social Sciences, Politics, UK Politics, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199661107.001.0001/actrade-9780199661107,VSIO_SUBJECTS:SOC00010
Socialism: A Very Short Introduction,Sep-13,Social Sciences,Newman,2005,10.1093/actrade/9780192804310.001.0001,9780192804310,"null, Social Sciences, Politics, Political Theory, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192804310.001.0001/actrade-9780192804310,VSIO_SUBJECTS:SOC00010
Socialism: A Very Short Introduction,Sep-20,Social Sciences,Newman,2020,10.1093/actrade/9780198836421.001.0001,9780198836421,"null, Social Sciences, Politics, Political Theory, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198836421.001.0001/actrade-9780198836421,VSIO_SUBJECTS:SOC00010
Nuclear Weapons: A Very Short Introduction,Sep-20,Social Sciences,Siracusa,2020,10.1093/actrade/9780198860532.001.0001,9780198860532,"null, Social Sciences, Politics, International Relations, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198860532.001.0001/actrade-9780198860532,VSIO_SUBJECTS:SOC00010
Nuclear Weapons: A Very Short Introduction,Apr-15,Social Sciences,Siracusa,2015,10.1093/actrade/9780198727231.001.0001,9780198727231,"null, Social Sciences, Politics, International Relations, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198727231.001.0001/actrade-9780198727231,VSIO_SUBJECTS:SOC00010
Nuclear Weapons: A Very Short Introduction,Sep-13,Social Sciences,Siracusa,2008,10.1093/actrade/9780199229543.001.0001,9780199229543,"null, Social Sciences, Politics, International Relations, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199229543.001.0001/actrade-9780199229543,VSIO_SUBJECTS:SOC00010
Climate Change: A Very Short Introduction,Aug-21,Social Sciences,Maslin,2021,10.1093/actrade/9780198867869.001.0001,9780198867869,"null, Social Sciences, Environment, Climate Change, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198867869.001.0001/actrade-9780198867869,VSIO_SUBJECTS:SOC00010
Climate Change: A Very Short Introduction,Oct-14,Social Sciences,Maslin,2014,10.1093/actrade/9780198719045.001.0001,9780198719045,"null, Social Sciences, Environment, Climate Change, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198719045.001.0001/actrade-9780198719045,VSIO_SUBJECTS:SOC00010
The History of Political Thought: A Very Short Introduction,Nov-21,Social Sciences,Whatmore,2021,10.1093/actrade/9780198853725.001.0001,9780198853725,"null, Social Sciences, Politics, Political Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198853725.001.0001/actrade-9780198853725,VSIO_SUBJECTS:SOC00010
Refugees: A Very Short Introduction,May-21,Social Sciences,Loescher,2021,10.1093/actrade/9780198811787.001.0001,9780198811787,"null, Social Sciences, Sociology, Migration Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198811787.001.0001/actrade-9780198811787,VSIO_SUBJECTS:SOC00010
